"","week","AQHI","stationName"
"101",2018-12-02,1.91315063041072,"Burnaby Kensington Park"
"102",2018-12-09,2.09733916470808,"Burnaby Kensington Park"
"103",2018-12-16,2.19404453016285,"Burnaby Kensington Park"
"104",2018-12-23,1.60903092569083,"Burnaby Kensington Park"
"105",2018-12-30,1.88083656277967,"Burnaby Kensington Park"
"106",2019-01-06,1.99908362233457,"Burnaby Kensington Park"
"107",2019-01-13,2.22209826847837,"Burnaby Kensington Park"
"108",2019-01-20,1.37804515473749,"Burnaby Kensington Park"
"109",2019-01-27,1.98650981083382,"Burnaby Kensington Park"
"110",2019-02-03,2.6238414731432,"Burnaby Kensington Park"
"111",2019-02-10,2.60875242888355,"Burnaby Kensington Park"
"112",2019-02-17,2.11578689893832,"Burnaby Kensington Park"
"113",2019-02-24,2.56871598128752,"Burnaby Kensington Park"
"114",2019-03-03,2.70422764914221,"Burnaby Kensington Park"
"115",2019-03-10,2.12016956347336,"Burnaby Kensington Park"
"116",2019-03-17,2.55432779696602,"Burnaby Kensington Park"
"117",2019-03-24,2.30797682731143,"Burnaby Kensington Park"
"118",2019-03-31,2.47442094377058,"Burnaby Kensington Park"
"119",2019-04-07,2.09485245398304,"Burnaby Kensington Park"
"120",2019-04-14,2.00677951835068,"Burnaby Kensington Park"
"121",2019-04-21,2.19717976335645,"Burnaby Kensington Park"
"122",2019-04-28,2.38012332916693,"Burnaby Kensington Park"
"123",2019-05-05,2.275228058499,"Burnaby Kensington Park"
"124",2019-05-12,2.12371776926839,"Burnaby Kensington Park"
"125",2019-05-19,2.1059880842411,"Burnaby Kensington Park"
"126",2019-05-26,2.5222039995811,"Burnaby Kensington Park"
"127",2019-06-02,2.07799591939202,"Burnaby Kensington Park"
"128",2019-06-09,2.11022966583541,"Burnaby Kensington Park"
"129",2019-06-16,1.81685382557756,"Burnaby Kensington Park"
"130",2019-06-23,1.87484670460974,"Burnaby Kensington Park"
"131",2019-06-30,1.75672228036736,"Burnaby Kensington Park"
"132",2019-07-07,1.53345335901547,"Burnaby Kensington Park"
"133",2019-07-14,1.52343965285459,"Burnaby Kensington Park"
"134",2019-07-21,1.82857898749,"Burnaby Kensington Park"
"135",2019-07-28,1.82278305114647,"Burnaby Kensington Park"
"136",2019-08-04,2.26310758277338,"Burnaby Kensington Park"
"137",2019-08-11,1.84125304706346,"Burnaby Kensington Park"
"138",2019-08-18,1.86873409839829,"Burnaby Kensington Park"
"139",2019-08-25,1.97667910516929,"Burnaby Kensington Park"
"140",2019-09-01,1.91524856070642,"Burnaby Kensington Park"
"141",2019-09-08,1.35846637491294,"Burnaby Kensington Park"
"142",2019-09-15,1.36721032795196,"Burnaby Kensington Park"
"143",2019-09-22,1.47083334777452,"Burnaby Kensington Park"
"144",2019-09-29,1.65711063706609,"Burnaby Kensington Park"
"145",2019-10-06,1.7601803439209,"Burnaby Kensington Park"
"146",2019-10-13,1.83148910756538,"Burnaby Kensington Park"
"147",2019-10-20,1.45026276975793,"Burnaby Kensington Park"
"148",2019-10-27,1.96768824218542,"Burnaby Kensington Park"
"149",2019-11-03,1.60966580510017,"Burnaby Kensington Park"
"150",2019-11-10,1.45752681795688,"Burnaby Kensington Park"
"151",2019-11-17,1.63281837423708,"Burnaby Kensington Park"
"152",2019-11-24,2.24360609069813,"Burnaby Kensington Park"
"153",2019-12-01,1.88980434360561,"Burnaby Kensington Park"
"154",2019-12-08,1.50872990313139,"Burnaby Kensington Park"
"155",2019-12-15,1.72735232703869,"Burnaby Kensington Park"
"156",2019-12-22,1.45482480105752,"Burnaby Kensington Park"
"157",2020-01-05,1.99234772389447,"Burnaby Kensington Park"
"158",2020-01-12,2.01908191750566,"Burnaby Kensington Park"
"159",2020-01-19,1.88873310799817,"Burnaby Kensington Park"
"160",2020-01-26,2.02247505287109,"Burnaby Kensington Park"
"161",2020-02-02,1.71446212388845,"Burnaby Kensington Park"
"162",2020-02-09,1.73448745305485,"Burnaby Kensington Park"
"163",2020-02-16,2.01384122642122,"Burnaby Kensington Park"
"164",2020-02-23,1.94800596372156,"Burnaby Kensington Park"
"165",2020-03-01,2.00547013160412,"Burnaby Kensington Park"
"166",2020-03-08,1.98201539048393,"Burnaby Kensington Park"
"167",2020-03-15,2.59083721747169,"Burnaby Kensington Park"
"168",2020-03-22,2.09446088523957,"Burnaby Kensington Park"
"169",2020-03-29,2.19946922915459,"Burnaby Kensington Park"
"170",2020-04-05,2.36795075782515,"Burnaby Kensington Park"
"171",2020-04-12,2.55017475418868,"Burnaby Kensington Park"
"172",2020-04-19,1.94577716909048,"Burnaby Kensington Park"
"173",2020-04-26,2.17119891857121,"Burnaby Kensington Park"
"174",2020-05-03,2.25100782102273,"Burnaby Kensington Park"
"175",2020-05-10,2.04427644830621,"Burnaby Kensington Park"
"176",2020-05-17,1.81366714258229,"Burnaby Kensington Park"
"177",2020-05-24,2.19828572783464,"Burnaby Kensington Park"
"178",2020-05-31,1.77667948819792,"Burnaby Kensington Park"
"179",2020-06-07,1.40166940245632,"Burnaby Kensington Park"
"180",2020-06-14,1.61098143035994,"Burnaby Kensington Park"
"181",2020-06-21,1.45758886331871,"Burnaby Kensington Park"
"182",2020-06-28,1.48072726475403,"Burnaby Kensington Park"
"183",2020-07-05,1.60174631567892,"Burnaby Kensington Park"
"184",2020-07-12,1.5908492860549,"Burnaby Kensington Park"
"185",2020-07-19,1.35874230462229,"Burnaby Kensington Park"
"186",2020-07-26,2.33748997315314,"Burnaby Kensington Park"
"187",2020-08-02,1.58287211821889,"Burnaby Kensington Park"
"188",2020-08-09,1.58695837286348,"Burnaby Kensington Park"
"189",2020-08-23,1.65284453486934,"Burnaby Kensington Park"
"190",2020-08-30,1.78548613779124,"Burnaby Kensington Park"
"191",2020-09-06,3.99240772802874,"Burnaby Kensington Park"
"192",2020-09-13,5.51983894342661,"Burnaby Kensington Park"
"193",2020-09-20,1.59482840554301,"Burnaby Kensington Park"
"194",2020-09-27,1.59470498842172,"Burnaby Kensington Park"
"195",2020-10-04,1.75483653385726,"Burnaby Kensington Park"
"196",2020-10-11,1.52794372979077,"Burnaby Kensington Park"
"197",2020-10-18,1.71864783846155,"Burnaby Kensington Park"
"198",2020-10-25,1.73539451838082,"Burnaby Kensington Park"
"199",2020-11-01,1.74120318860707,"Burnaby Kensington Park"
"200",2020-11-08,1.67284677986371,"Burnaby Kensington Park"
"201",2020-11-15,1.90831584798423,"Burnaby Kensington Park"
"202",2020-11-22,1.67489335290581,"Burnaby Kensington Park"
"203",2020-11-29,1.60336019301434,"Burnaby Kensington Park"
"204",2020-12-06,1.73910537563312,"Burnaby Kensington Park"
"205",2020-12-13,1.88048466515905,"Burnaby Kensington Park"
"206",2020-12-20,1.90986974774459,"Burnaby Kensington Park"
"207",2020-12-27,1.65847931018992,"Burnaby Kensington Park"
"208",2021-01-03,2.02741410622395,"Burnaby Kensington Park"
"209",2021-01-10,1.86496286856205,"Burnaby Kensington Park"
"210",2021-01-17,1.65068929268754,"Burnaby Kensington Park"
"211",2021-01-24,1.83557250279368,"Burnaby Kensington Park"
"212",2021-01-31,1.9460982132137,"Burnaby Kensington Park"
"213",2021-02-07,2.27736772549685,"Burnaby Kensington Park"
"214",2021-02-14,2.02273762732124,"Burnaby Kensington Park"
"215",2021-02-21,2.11497798306908,"Burnaby Kensington Park"
"216",2021-02-28,2.30014834740129,"Burnaby Kensington Park"
"217",2021-03-07,2.31913669003388,"Burnaby Kensington Park"
"218",2021-03-14,2.29270429013734,"Burnaby Kensington Park"
"219",2021-03-21,2.03118545948028,"Burnaby Kensington Park"
"220",2021-03-28,2.29229679778379,"Burnaby Kensington Park"
"221",2021-04-04,2.39140332264122,"Burnaby Kensington Park"
"222",2021-04-11,2.73879234540041,"Burnaby Kensington Park"
"223",2021-04-18,2.62840008886742,"Burnaby Kensington Park"
"224",2021-04-25,1.89887583190574,"Burnaby Kensington Park"
"225",2021-05-02,2.22873721505629,"Burnaby Kensington Park"
"226",2021-05-09,2.02387071696034,"Burnaby Kensington Park"
"227",2021-05-16,2.2254813351661,"Burnaby Kensington Park"
"228",2021-05-23,1.8170656457152,"Burnaby Kensington Park"
"229",2021-05-30,2.04681292260353,"Burnaby Kensington Park"
"230",2021-06-06,1.83863471165611,"Burnaby Kensington Park"
"231",2021-06-13,1.75646646226229,"Burnaby Kensington Park"
"232",2021-06-20,1.91868570828895,"Burnaby Kensington Park"
"233",2021-06-27,2.31036940527524,"Burnaby Kensington Park"
"234",2021-07-04,1.96390826732591,"Burnaby Kensington Park"
"235",2021-07-11,1.78367409978416,"Burnaby Kensington Park"
"236",2021-07-18,1.77332498166744,"Burnaby Kensington Park"
"237",2021-07-25,2.4453040019214,"Burnaby Kensington Park"
"238",2021-08-01,2.05284481241575,"Burnaby Kensington Park"
"239",2021-08-08,3.02727213326175,"Burnaby Kensington Park"
"240",2021-08-15,1.79819926698246,"Burnaby Kensington Park"
"241",2021-08-22,1.97698791691512,"Burnaby Kensington Park"
"242",2021-08-29,1.88196971627344,"Burnaby Kensington Park"
"243",2021-09-05,1.94698785225777,"Burnaby Kensington Park"
"244",2021-09-12,1.85894899529937,"Burnaby Kensington Park"
"245",2021-09-19,1.62527289861908,"Burnaby Kensington Park"
"246",2021-09-26,1.76030232289766,"Burnaby Kensington Park"
"247",2021-10-03,1.63588951114129,"Burnaby Kensington Park"
"248",2021-10-10,1.67142707963733,"Burnaby Kensington Park"
"249",2021-10-17,1.86030896592606,"Burnaby Kensington Park"
"250",2021-10-24,1.88280793294652,"Burnaby Kensington Park"
"251",2021-10-31,2.06258430015461,"Burnaby Kensington Park"
"252",2021-11-07,1.98669709212378,"Burnaby Kensington Park"
"253",2021-11-14,1.56781180589542,"Burnaby Kensington Park"
"254",2021-11-21,1.53748105392558,"Burnaby Kensington Park"
"255",2021-11-28,1.88099880662593,"Burnaby Kensington Park"
"256",2021-12-05,1.78931868678273,"Burnaby Kensington Park"
"257",2021-12-12,1.98895069887898,"Burnaby Kensington Park"
"258",2021-12-19,2.23202960020814,"Burnaby Kensington Park"
"259",2021-12-26,2.64414798120679,"Burnaby Kensington Park"
"260",2022-01-02,2.24818903219351,"Burnaby Kensington Park"
