date,speed
"Sep 17, 2022",8:22/km
"Sep 13, 2015",8:34/km
"Aug 6, 2021",8:45/km
"Sep 24, 2016",8:47/km
"Jun 22, 2019",8:57/km
"Sep 16, 2017",8:57/km
"Aug 6, 2020",9:04/km
"Oct 13, 2015",9:07/km
"Sep 14, 2019",9:11/km
"Oct 1, 2019",9:17/km
"Sep 12, 2019",9:17/km
"Jul 23, 2021",9:19/km
"Jul 24, 2019",9:20/km
"Aug 19, 2018",9:25/km
"Sep 16, 2017",9:25/km
"Sep 7, 2014",9:25/km
"Jul 15, 2021",9:26/km
"Sep 13, 2015",9:27/km
"Sep 22, 2012",9:27/km
"May 24, 2022",9:27/km
"Jun 24, 2019",9:28/km
"Jun 9, 2022",9:28/km
"Jul 9, 2016",9:29/km
"Jun 26, 2019",9:32/km
"May 27, 2016",9:32/km
"Sep 15, 2018",9:34/km
"May 30, 2021",9:34/km
"Jul 23, 2018",9:36/km
"Aug 23, 2020",9:36/km
"Sep 28, 2022",9:36/km
"Jul 19, 2019",9:37/km
"Sep 22, 2012",9:38/km
"May 14, 2015",9:38/km
"Sep 15, 2018",9:39/km
"Aug 21, 2017",9:40/km
"Aug 13, 2022",9:40/km
"Jun 8, 2015",9:41/km
"Aug 31, 2017",9:42/km
"Aug 25, 2017",9:42/km
"Jun 21, 2012",9:43/km
"Jul 12, 2020",9:43/km
"Sep 15, 2018",9:44/km
"Jul 30, 2021",9:44/km
"Jul 11, 2021",9:44/km
"Jun 3, 2017",9:46/km
"Jul 30, 2021",9:46/km
"Sep 14, 2019",9:47/km
"Sep 1, 2017",9:48/km
"Sep 15, 2018",9:50/km
"Sep 3, 2020",9:50/km
"Aug 23, 2020",9:51/km
"Jun 7, 2021",9:52/km
"Sep 15, 2018",9:52/km
"Jul 24, 2020",9:52/km
"Jun 15, 2017",9:54/km
"Sep 30, 2018",9:55/km
"May 31, 2016",9:55/km
"Aug 29, 2014",9:56/km
"Sep 15, 2018",9:57/km
"Sep 14, 2017",9:58/km
"May 25, 2015",9:59/km
"Jul 23, 2018",10:01/km
"May 28, 2022",10:01/km
"Aug 19, 2021",10:03/km
"Jun 26, 2019",10:04/km
"Jul 19, 2019",10:04/km
"Sep 5, 2018",10:04/km
"Aug 31, 2016",10:04/km
