date,speed
"Sep 18, 2022",2:27/km
"Jul 5, 2021",2:41/km
"Sep 25, 2022",2:50/km
"Jul 6, 2018",3:16/km
"Apr 16, 2021",3:16/km
"Apr 26, 2020",3:18/km
"Feb 14, 2019",3:24/km
"Nov 23, 2019",3:25/km
"Apr 20, 2021",3:27/km
"Mar 19, 2020",3:29/km
"Aug 22, 2021",3:30/km
"Oct 2, 2021",3:31/km
"Oct 31, 2022",3:32/km
"May 28, 2021",3:33/km
"Jan 28, 2022",3:33/km
"Mar 19, 2020",3:34/km
"Mar 25, 2017",3:36/km
"Apr 21, 2020",3:38/km
"Sep 5, 2022",3:38/km
"Aug 20, 2017",3:39/km
"Feb 13, 2017",3:40/km
"Mar 20, 2022",3:40/km
"May 4, 2022",3:41/km
"Jan 9, 2018",3:42/km
"Nov 5, 2019",3:42/km
"Dec 7, 2016",3:43/km
"Jul 1, 2022",3:43/km
"Nov 3, 2019",3:44/km
"Dec 4, 2019",3:44/km
"Oct 13, 2021",3:44/km
"Feb 19, 2017",3:45/km
"Jul 8, 2019",3:45/km
"Jun 13, 2021",3:45/km
"May 12, 2020",3:45/km
"Feb 17, 2021",3:45/km
"Jul 18, 2022",3:45/km
"May 1, 2018",3:46/km
"Oct 6, 2021",3:46/km
"May 1, 2018",3:47/km
"Jun 1, 2019",3:47/km
"Apr 23, 2021",3:48/km
"Mar 8, 2017",3:49/km
"Jun 6, 2020",3:49/km
"Dec 11, 2020",3:49/km
"Jan 12, 2018",3:50/km
"Sep 22, 2018",3:50/km
"Mar 28, 2019",3:50/km
"Mar 4, 2017",3:51/km
"Nov 7, 2018",3:51/km
"Apr 29, 2017",3:51/km
"Sep 25, 2021",3:51/km
"Nov 22, 2021",3:51/km
"Oct 9, 2018",3:52/km
"Jun 15, 2021",3:52/km
"Jun 30, 2022",3:52/km
"Sep 24, 2018",3:53/km
"Oct 10, 2019",3:53/km
"Jun 23, 2020",3:53/km
"Jan 3, 2021",3:53/km
"May 7, 2017",3:54/km
"Jul 17, 2018",3:54/km
"Apr 24, 2020",3:54/km
"Dec 25, 2020",3:54/km
"Apr 27, 2021",3:54/km
"Sep 8, 2021",3:54/km
"Jan 9, 2022",3:54/km
"Oct 3, 2022",3:54/km
"Jun 2, 2018",3:55/km
"Mar 5, 2021",3:55/km
"May 9, 2022",3:55/km
"Oct 31, 2022",3:55/km
"Nov 26, 2019",3:56/km
"Mar 14, 2020",3:56/km
"Sep 2, 2019",3:56/km
"Sep 5, 2021",3:56/km
"Nov 25, 2021",3:56/km
"Oct 18, 2022",3:56/km
"Jul 2, 2018",3:57/km
"Jan 9, 2020",3:57/km
"Apr 12, 2020",3:57/km
"Jul 4, 2021",3:57/km
"Jun 12, 2022",3:57/km
"Feb 19, 2022",3:57/km
"Mar 15, 2022",3:57/km
"Jul 15, 2018",3:58/km
"Feb 13, 2019",3:58/km
"May 21, 2019",3:58/km
"Nov 28, 2020",3:58/km
"Mar 25, 2021",3:58/km
"Sep 25, 2021",3:58/km
"Mar 22, 2018",3:59/km
"Feb 2, 2021",3:59/km
"Mar 5, 2021",3:59/km
"Aug 31, 2016",4:00/km
"Feb 19, 2018",4:00/km
"Apr 9, 2019",4:00/km
"Feb 16, 2020",4:00/km
"Mar 3, 2020",4:00/km
"Jun 17, 2020",4:00/km
"Aug 12, 2019",4:00/km
"Dec 29, 2020",4:00/km
"Mar 5, 2021",4:00/km
"Aug 1, 2021",4:00/km
"Sep 26, 2017",4:01/km
"Jan 11, 2021",4:01/km
"Sep 18, 2017",4:01/km
"Jun 18, 2020",4:01/km
"Nov 21, 2020",4:01/km
"May 10, 2021",4:01/km
"Sep 30, 2021",4:01/km
"Nov 28, 2021",4:01/km
"Nov 10, 2017",4:02/km
"Jan 11, 2018",4:02/km
"Mar 17, 2019",4:02/km
"Aug 10, 2020",4:02/km
"Aug 10, 2020",4:02/km
"Apr 3, 2021",4:02/km
"Aug 5, 2021",4:02/km
"Dec 12, 2021",4:02/km
"Jul 14, 2022",4:02/km
"Sep 3, 2022",4:02/km
"Sep 3, 2022",4:02/km
"Dec 30, 2016",4:03/km
"Sep 22, 2018",4:03/km
"Oct 17, 2018",4:03/km
"Nov 23, 2019",4:03/km
"Apr 1, 2020",4:03/km
"Jan 18, 2022",4:03/km
"Mar 22, 2021",4:04/km
"Apr 13, 2022",4:04/km
"Apr 6, 2018",4:05/km
"Oct 22, 2020",4:05/km
"Sep 23, 2021",4:05/km
"Nov 18, 2017",4:05/km
"Jun 1, 2019",4:05/km
"Jul 14, 2019",4:05/km
"Jan 17, 2020",4:05/km
"Jun 14, 2020",4:05/km
"Jul 31, 2021",4:05/km
"Apr 22, 2019",4:06/km
"Mar 8, 2022",4:06/km
"May 13, 2022",4:06/km
"Sep 24, 2022",4:06/km
"Nov 28, 2020",4:07/km
"Mar 20, 2017",4:08/km
"Nov 12, 2018",4:08/km
"Jul 24, 2020",4:08/km
"Oct 21, 2020",4:08/km
"Jul 17, 2021",4:08/km
"Feb 6, 2022",4:08/km
"Mar 15, 2022",4:08/km
"Jan 6, 2018",4:09/km
"Jan 29, 2019",4:09/km
"Jul 2, 2020",4:09/km
"Dec 24, 2020",4:09/km
"Nov 16, 2021",4:09/km
"Oct 16, 2022",4:09/km
"May 21, 2017",4:09/km
"May 28, 2019",4:09/km
"Feb 1, 2020",4:09/km
"Apr 17, 2020",4:09/km
"May 21, 2020",4:09/km
"Jul 19, 2020",4:09/km
"Jan 27, 2021",4:09/km
"Aug 15, 2021",4:09/km
"Jan 6, 2018",4:10/km
"Apr 6, 2018",4:10/km
"May 26, 2019",4:10/km
"Jul 28, 2020",4:10/km
"Nov 23, 2020",4:10/km
"Mar 14, 2021",4:10/km
"Apr 30, 2019",4:11/km
"Apr 30, 2019",4:11/km
"Nov 10, 2021",4:11/km
"Dec 21, 2021",4:11/km
"Mar 26, 2022",4:11/km
"Jun 14, 2017",4:12/km
"Nov 3, 2018",4:12/km
"Apr 27, 2020",4:12/km
