date,speed
"Mar 9, 2021",5:07/km
"Apr 8, 2019",5:09/km
"Nov 11, 2017",5:09/km
"Jul 11, 2017",5:09/km
"May 29, 2020",5:09/km
"Jan 29, 2021",5:09/km
"Mar 12, 2022",5:09/km
"May 29, 2022",5:09/km
"Jan 12, 2019",5:12/km
"Nov 23, 2014",5:12/km
"Jan 19, 2014",5:12/km
"Apr 10, 2019",5:12/km
"May 25, 2020",5:12/km
"Jun 3, 2020",5:12/km
"Jun 12, 2020",5:12/km
"Sep 9, 2021",5:12/km
"Dec 20, 2021",5:12/km
"Oct 22, 2019",5:14/km
"Jun 11, 2018",5:14/km
"May 14, 2020",5:14/km
"May 26, 2020",5:14/km
"May 29, 2020",5:14/km
"Apr 4, 2021",5:14/km
"Jun 23, 2021",5:14/km
"Jan 11, 2022",5:14/km
"Nov 9, 2019",5:16/km
"Mar 29, 2019",5:16/km
"Mar 9, 2019",5:16/km
"Nov 7, 2018",5:16/km
"Mar 16, 2020",5:16/km
"Aug 8, 2021",5:16/km
"Sep 10, 2021",5:16/km
"Feb 23, 2022",5:16/km
"Jun 17, 2019",5:18/km
"Feb 13, 2018",5:18/km
"Jul 4, 2016",5:18/km
"May 21, 2020",5:18/km
"Jan 18, 2022",5:18/km
"Apr 11, 2022",5:18/km
"May 3, 2020",5:18/km
"Jun 26, 2022",5:18/km
"Sep 21, 2022",5:18/km
"Oct 13, 2022",5:18/km
"Jul 23, 2019",5:21/km
"Jul 23, 2019",5:21/km
"Mar 25, 2018",5:21/km
"Mar 31, 2018",5:21/km
"Mar 25, 2018",5:21/km
"Mar 11, 2018",5:21/km
"Apr 15, 2016",5:21/km
"Aug 1, 2020",5:21/km
"Aug 20, 2020",5:21/km
"Jan 23, 2021",5:21/km
"Dec 17, 2019",5:21/km
"Apr 18, 2022",5:21/km
"Oct 19, 2017",5:23/km
"Jun 27, 2020",5:23/km
"Sep 24, 2020",5:23/km
"Mar 9, 2021",5:23/km
"Mar 23, 2016",5:25/km
"Apr 13, 2014",5:25/km
"Dec 21, 2019",5:25/km
"Dec 9, 2018",5:25/km
"Jul 24, 2017",5:25/km
"Feb 19, 2019",5:25/km
"Sep 18, 2021",5:25/km
"Feb 4, 2022",5:25/km
"Mar 30, 2022",5:25/km
"May 19, 2022",5:25/km
"Jun 11, 2022",5:25/km
"Oct 9, 2022",5:25/km
"Nov 7, 2019",5:27/km
"Nov 5, 2019",5:27/km
"Mar 7, 2019",5:27/km
"Feb 20, 2019",5:27/km
"Nov 27, 2018",5:27/km
"Nov 4, 2018",5:27/km
"Mar 25, 2018",5:27/km
"Feb 24, 2013",5:27/km
"Apr 26, 2020",5:27/km
"Jul 5, 2020",5:27/km
"May 15, 2021",5:27/km
"Sep 25, 2021",5:27/km
"Aug 11, 2019",5:30/km
"Apr 15, 2016",5:30/km
"Apr 15, 2012",5:30/km
"May 4, 2020",5:30/km
"Sep 9, 2020",5:30/km
"Feb 1, 2021",5:30/km
"Feb 16, 2021",5:30/km
"Jul 27, 2021",5:30/km
"Sep 13, 2021",5:30/km
"Oct 6, 2021",5:30/km
"Apr 30, 2022",5:30/km
"Aug 5, 2022",5:30/km
"Dec 9, 2018",5:32/km
"Nov 7, 2018",5:32/km
"Jul 21, 2017",5:32/km
"May 26, 2017",5:32/km
"May 12, 2017",5:32/km
"Feb 27, 2016",5:32/km
"May 3, 2020",5:32/km
"Nov 1, 2020",5:32/km
"Jan 16, 2021",5:32/km
"Nov 25, 2020",5:32/km
"Jan 19, 2021",5:32/km
"Aug 17, 2021",5:32/km
"Oct 6, 2021",5:32/km
"Oct 23, 2021",5:32/km
"Apr 28, 2022",5:32/km
"Jul 10, 2017",5:34/km
"Dec 6, 2019",5:34/km
